code,system,display,definition,synonym
UN-0059,unani,Kasrat al-Bawl,"'Kasrat al-Bawl' refers to polyuria. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Polyuria
UN-0060,unani,Qillat al-Bawl,"'Qillat al-Bawl' refers to oliguria. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Oliguria
UN-0061,unani,Ihtibas al-Bawl,"'Ihtibas al-Bawl' refers to urinary retention. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Urinary retention
UN-0062,unani,Salas al-Bawl,"'Salas al-Bawl' refers to urinary incontinence. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Urinary incontinence
UN-0063,unani,Hissah-e-Kuliya,"'Hissah-e-Kuliya' refers to renal calculus (kidney stone). Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Renal calculus
UN-0064,unani,Iltihab-e-Masana,"'Iltihab-e-Masana' refers to cystitis. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cystitis
UN-0065,unani,Warm-e-Kuliya,"'Warm-e-Kuliya' refers to nephritis. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Nephritis
UN-0066,unani,Sailan-ur-Rahm,"'Sailan-ur-Rahm' refers to leucorrhea. Typical features include gynecologic symptoms such as pelvic pain or cycle changes. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Leucorrhea
UN-0067,unani,Kasrat al-Tamth,"'Kasrat al-Tamth' refers to menorrhagia. Typical features include gynecologic symptoms such as pelvic pain or cycle changes. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Menorrhagia
UN-0068,unani,Qillat al-Tamth,"'Qillat al-Tamth' refers to hypomenorrhea. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hypomenorrhea
UN-0069,unani,Inqita' al-Tamth,"'Inqita' al-Tamth' refers to amenorrhea. Typical features include gynecologic symptoms such as pelvic pain or cycle changes. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Amenorrhea
UN-0070,unani,Dard-e-Hayd,"'Dard-e-Hayd' refers to dysmenorrhea. Typical features include gynecologic symptoms such as pelvic pain or cycle changes. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dysmenorrhea
UN-0071,unani,Qai' al-Hubla,"'Qai' al-Hubla' refers to hyperemesis gravidarum. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hyperemesis gravidarum
UN-0072,unani,Ziabetus Shakri,"'Ziabetus Shakri' refers to diabetes mellitus. Typical features include polyuria, polydipsia, and weight change. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Diabetes mellitus
UN-0073,unani,Saman-e-Mufrit,"'Saman-e-Mufrit' refers to obesity. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Obesity
UN-0074,unani,Huzal,"'Huzal' refers to emaciation/undernutrition. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Emaciation
UN-0075,unani,Istisqa,"'Istisqa' refers to ascites (dropsy). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Ascites
UN-0076,unani,Warm-e-Tihal,"'Warm-e-Tihal' refers to splenitis/splenomegaly. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Splenitis
UN-0077,unani,Nafth-ud-Dam,"'Nafth-ud-Dam' refers to hemoptysis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hemoptysis
UN-0078,unani,Buhha,"'Buhha' refers to hoarseness of voice. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hoarseness of voice
UN-0079,unani,Iltihab-e-Udhun,"'Iltihab-e-Udhun' refers to otitis (ear infection). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Otitis
UN-0080,unani,Waja'-e-Udhun,"'Waja'-e-Udhun' refers to earache. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Earache
UN-0081,unani,Qurooh-e-Saqiyn,"'Qurooh-e-Saqiyn' refers to leg ulcers. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Leg ulcers
UN-0082,unani,Qurooh-e-Diabetici,"'Qurooh-e-Diabetici' refers to diabetic foot ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Diabetic foot ulcer
UN-0083,unani,Hummay-e-Wabayi,"'Hummay-e-Wabayi' refers to epidemic fever. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Epidemic fever
UN-0084,unani,Hummae-Malaria,"'Hummae-Malaria' refers to malaria. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Malaria
UN-0085,unani,Hummae-Rubayi,"'Hummae-Rubayi' refers to quartan malaria. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Quartan malaria
UN-0086,unani,Hummae-Salasah,"'Hummae-Salasah' refers to tertian malaria. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Tertian malaria
UN-0087,unani,Sual-e-Muzmin,"'Sual-e-Muzmin' refers to chronic cough. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chronic cough
UN-0088,unani,Dafaq al-Bawl,"'Dafaq al-Bawl' refers to nocturia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Nocturia
UN-0089,unani,Tabaal,"'Tabaal' refers to enuresis (bed-wetting). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Enuresis
UN-0090,unani,Waswasa,"'Waswasa' refers to anxiety/obsessive thoughts. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Anxiety
UN-0091,unani,Soda',"'Soda'' refers to depressive temperament (black bile dominance). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Depressive temperament
UN-0092,unani,Balghami Su'-e-Mizaj,"'Balghami Su'-e-Mizaj' refers to phlegmatic dyscrasia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Phlegmatic dyscrasia
UN-0093,unani,Damvi Su'-e-Mizaj,"'Damvi Su'-e-Mizaj' refers to sanguine dyscrasia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Sanguine dyscrasia
UN-0094,unani,Safrai Su'-e-Mizaj,"'Safrai Su'-e-Mizaj' refers to choleric dyscrasia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Choleric dyscrasia
UN-0095,unani,Sauda'i Su'-e-Mizaj,"'Sauda'i Su'-e-Mizaj' refers to melancholic dyscrasia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Melancholic dyscrasia
UN-0096,unani,Zo'f-e-Basar,"'Zo'f-e-Basar' refers to reduced visual acuity. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Reduced visual acuity
UN-0097,unani,Iltihab-e-Jild,"'Iltihab-e-Jild' refers to dermatitis. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dermatitis
UN-0098,unani,Qishr-e-Sar,"'Qishr-e-Sar' refers to dandruff. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dandruff
UN-0099,unani,Sa'fa,"'Sa'fa' refers to alopecia areata. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Alopecia areata
UN-0100,unani,Habb-e-Shababi,"'Habb-e-Shababi' refers to acne vulgaris. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Acne vulgaris
UN-0101,unani,Quruh-e-Damavi,"'Quruh-e-Damavi' refers to bleeding ulcers. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bleeding ulcers
UN-0102,unani,Quruh-e-Qadimah,"'Quruh-e-Qadimah' refers to chronic ulcers. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chronic ulcers
UN-0103,unani,Nafkh-e-Bawasil,"'Nafkh-e-Bawasil' refers to thrombosed hemorrhoids. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Thrombosed hemorrhoids
UN-0104,unani,Warid varicosi,"'Warid varicosi' refers to varicose veins. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Varicose veins
UN-0105,unani,Zahra al-Mathana,"'Zahra al-Mathana' refers to urethral stricture. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Urethral stricture
UN-0106,unani,Warm-e-Litha,"'Warm-e-Litha' refers to gingivitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gingivitis
UN-0107,unani,Dard-e-Asnan,"'Dard-e-Asnan' refers to toothache. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Toothache
UN-0108,unani,Nakhun-andar-ugna,"'Nakhun-andar-ugna' refers to ingrown toenail. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Ingrown toenail
UN-0109,unani,Dard-e-Gardan,"'Dard-e-Gardan' refers to neck pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Neck pain
UN-0110,unani,Dard-e-Kandha,"'Dard-e-Kandha' refers to shoulder pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Shoulder pain
UN-0111,unani,Dard-e-Bazu,"'Dard-e-Bazu' refers to arm pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Arm pain
UN-0112,unani,Dard-e-Kuni,"'Dard-e-Kuni' refers to elbow pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Elbow pain
UN-0113,unani,Dard-e-Kalai,"'Dard-e-Kalai' refers to wrist pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Wrist pain
UN-0114,unani,Dard-e-Hath,"'Dard-e-Hath' refers to hand pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hand pain
UN-0115,unani,Dard-e-Ghutna,"'Dard-e-Ghutna' refers to knee pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Knee pain
UN-0116,unani,Dard-e-Pindli,"'Dard-e-Pindli' refers to calf pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Calf pain
UN-0117,unani,Dard-e-Talva,"'Dard-e-Talva' refers to heel pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Heel pain
UN-0118,unani,Dard-e-Qadam,"'Dard-e-Qadam' refers to foot pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Foot pain
UN-0119,unani,Warm-e-Anf,"'Warm-e-Anf' refers to rhinitis (nasal inflammation). Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Rhinitis
UN-0120,unani,Warm-e-Sinus,"'Warm-e-Sinus' refers to sinusitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Sinusitis
UN-0121,unani,Warm-e-Halaq,"'Warm-e-Halaq' refers to pharyngitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pharyngitis
UN-0122,unani,Warm-e-Lawzatayn,"'Warm-e-Lawzatayn' refers to tonsillitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Tonsillitis
UN-0123,unani,Warm-e-Hanjara,"'Warm-e-Hanjara' refers to laryngitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Laryngitis
UN-0124,unani,Warm-e-Bronchi,"'Warm-e-Bronchi' refers to bronchitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bronchitis
UN-0125,unani,Warm-e-Qolon,"'Warm-e-Qolon' refers to colitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Colitis
UN-0126,unani,Warm-e-Duodenum,"'Warm-e-Duodenum' refers to duodenitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Duodenitis
UN-0127,unani,Warm-e-Bankriyās,"'Warm-e-Bankriyās' refers to pancreatitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pancreatitis
UN-0128,unani,Warm-e-Masana,"'Warm-e-Masana' refers to cystitis. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cystitis
UN-0129,unani,Warm-e-Udhun,"'Warm-e-Udhun' refers to otitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Otitis
UN-0130,unani,Warm-e-Ain,"'Warm-e-Ain' refers to conjunctivitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Conjunctivitis
UN-0131,unani,Warm-e-Jild,"'Warm-e-Jild' refers to dermatitis. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Dermatitis
UN-0132,unani,Warm-e-Lisan,"'Warm-e-Lisan' refers to glossitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Glossitis
UN-0133,unani,Warm-e-Mafasil,"'Warm-e-Mafasil' refers to synovitis. Typical features include joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Synovitis
UN-0134,unani,Warm-e-Gadud-e-Darqi,"'Warm-e-Gadud-e-Darqi' refers to thyroiditis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Thyroiditis
UN-0135,unani,Qurooh-e-Mida,"'Qurooh-e-Mida' refers to gastric ulcer. Typical features include localized ulceration, burning pain, and tenderness, epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gastric ulcer
UN-0136,unani,Qurooh-e-Duodenum,"'Qurooh-e-Duodenum' refers to duodenal ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Duodenal ulcer
UN-0137,unani,Qurooh-e-Qolon,"'Qurooh-e-Qolon' refers to colonic ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Colonic ulcer
UN-0138,unani,Qurooh-e-Muhasha,"'Qurooh-e-Muhasha' refers to mouth ulcer (aphthous). Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Mouth ulcer
UN-0139,unani,Qurooh-e-Jild,"'Qurooh-e-Jild' refers to skin ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Skin ulcer
UN-0140,unani,Qurooh-e-Qadam,"'Qurooh-e-Qadam' refers to foot ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Foot ulcer
UN-0141,unani,Qurooh-e-Patella,"'Qurooh-e-Patella' refers to knee ulceration. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Knee ulceration
